draw,policy_name,vaccine_uptake,vsly_factor,cost_factor,nmb
8,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,6847743701.562725
8,Universal (All Ages),0.8,1.6,0.1,5945481804.445821
8,All Adults (18+),0.8,1.6,0.1,22365043.981911864
8,No Vaccination,0.8,1.6,0.1,18831454111.68761
9,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,6453187543.558323
9,Universal (All Ages),0.8,1.6,0.1,5617566663.593978
9,All Adults (18+),0.8,1.6,0.1,21184511.155231643
9,No Vaccination,0.8,1.6,0.1,17748192806.49826
10,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,7215916942.185481
10,Universal (All Ages),0.8,1.6,0.1,6278138594.068994
10,All Adults (18+),0.8,1.6,0.1,23720475.65239123
10,No Vaccination,0.8,1.6,0.1,19846453790.8098
1,JCVI Spring 2025 (75+ only),0.9,1.6,0.1,6518007678.817552
1,Universal (All Ages),0.9,1.6,0.1,4100384263.19197
1,All Adults (18+),0.9,1.6,0.1,21447507.80714475
1,No Vaccination,0.9,1.6,0.1,17927292923.408806
2,JCVI Spring 2025 (75+ only),0.9,1.6,0.1,7135973585.965984
2,Universal (All Ages),0.9,1.6,0.1,4492310304.913522
2,All Adults (18+),0.9,1.6,0.1,23492842.391667087
2,No Vaccination,0.9,1.6,0.1,19627157886.248943
3,JCVI Spring 2025 (75+ only),0.9,1.6,0.1,7511786853.593972
3,Universal (All Ages),0.9,1.6,0.1,4774257079.907377
3,All Adults (18+),0.9,1.6,0.1,24537217.706257507
3,No Vaccination,0.9,1.6,0.1,20657643734.22671
4,JCVI Spring 2025 (75+ only),0.9,1.6,0.1,6627599658.217064
4,Universal (All Ages),0.9,1.6,0.1,4124935679.3109574
4,All Adults (18+),0.9,1.6,0.1,21723210.780622795
4,No Vaccination,0.9,1.6,0.1,18227321535.25319
5,JCVI Spring 2025 (75+ only),0.9,1.6,0.1,7453308429.7150135
5,Universal (All Ages),0.9,1.6,0.1,4694471769.974032
5,All Adults (18+),0.9,1.6,0.1,24356644.414033443
5,No Vaccination,0.9,1.6,0.1,20496998017.60834
6,JCVI Spring 2025 (75+ only),0.9,1.6,0.1,8804637925.3043
6,Universal (All Ages),0.9,1.6,0.1,5558304517.547477
6,All Adults (18+),0.9,1.6,0.1,28639707.507239252
6,No Vaccination,0.9,1.6,0.1,24211041010.4895
